ID,NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_det,tu_geo,tu_ch,td_det,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,is_tref,is_hpc,id_hpc,Ignore
97,407,13,4,2,-1167.4,0,14871.2,0.097662,0,0,0.042774,121.608,0.0976614,0,0,0.042774,151.699,7.32698,4.14135,0,44,13,70,44,13,86,28,6,28,22,0,0,0,0
98,408,13,4,2,-1045,0,14871.2,0.0976616,0,0,0.0404928,114.858,0.097661,0,0,0.0404928,133.179,7.33639,5.02274,0,44,13,71,44,13,87,28,7,28,23,0,0,0,0
99,409,13,4,2,-922.6,0,14871.2,0.0976611,0,0,0.0406668,102.507,0.0976611,0,0,0.0406668,122.876,7.31904,-3.06831,0,44,13,72,44,13,88,28,8,28,24,0,0,0,0
100,410,13,4,2,-800.2,0,14871.2,0.097662,0,0,0.0411573,108.666,0.0976614,0,0,0.0411573,132.391,7.35473,3.40387,0,44,13,73,44,13,89,28,9,28,25,0,0,0,0
101,411,13,4,2,-677.8,0,14871.2,0.0976617,0,0,0.0384522,123.571,0.0976614,0,0,0.0384522,152.327,7.35431,4.64751,0,44,13,74,44,13,90,28,10,28,26,0,0,0,0
102,412,13,4,2,-555.4,0,14871.2,0.0976616,0,0,0.0382753,97.4548,0.0976614,0,0,0.0382753,112.286,7.28566,5.38627,0,44,13,79,44,13,95,28,15,28,31,0,0,0,0
103,413,13,4,2,-433,0,14871.2,0.0976617,0,0,0.0421503,130.408,0.0976611,0,0,0.0421503,138.072,7.35611,3.41621,0,44,13,76,44,13,92,28,12,28,28,0,0,0,0
104,414,13,4,2,-310.6,0,14871.2,0.0976617,0,0,0.0377431,109.763,0.0976607,0,0,0.0377431,130.245,7.34063,3.07828,0,44,13,77,44,13,93,28,13,28,29,0,0,0,0
105,415,13,4,2,-188.2,0,14871.2,0.0976616,0,0,0.0412738,106.942,0.0976615,0,0,0.0412738,122.501,7.35498,6.33668,0,44,13,78,44,13,94,28,14,28,30,0,0,0,0
106,416,13,4,2,-65.8,0,14871.2,0.0976611,0,0,0.0405359,94.5365,0.0976599,0,0,0.0405359,123.405,7.33029,-6.08996,0,44,13,96,42,12,96,29,0,29,16,0,0,0,0
