NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,,,,,,,,
NaI200,200,8,10,30.47,-18.82,12.03,37.97,1185.72,0.0977,-358.034933,3.640305,11,8,21,88,,,,,,,,
NaI201,201,8,10,29.6,-21.71,4.26,38.94,1200.03,0.0977,-197.4944,3.229528,11,9,21,89,,,,,,,,
NaI202,202,8,10,29.61,-21.72,-4.3,38.96,1199.64,0.0977,-305.560656,3.102624,11,10,21,90,,,,,,,,
NaI203,203,8,10,30.47,-18.81,-12.02,37.94,1189.61,0.0977,-266.598,3.541,11,11,21,91,,,,,,,,
NaI204,204,8,10,30.45,-12,-18.84,37.99,1192.72,0.0977,-302.959876,3.670326,11,12,21,92,,,,,,,,
NaI205,205,8,10,29.6,-4.32,-21.69,38.93,1201.26,0.0977,-299.745917,2.94405,11,13,21,93,,,,,,,,
NaI206,206,8,10,23.6,4.22,-16.39,38.74,1198.31,0.0977,-379.368128,3.230604,11,14,21,94,,,,,,,,
NaI207,207,8,10,24.09,11.91,-11.93,37.7,1198.78,0.0977,-291.068602,3.586352,11,15,21,95,,,,,,,,
NaI208,208,8,10,23.68,16.41,-4.25,38.65,1189.39,0.0977,-544.236248,6.35684,11,16,21,96,,,,,,,,
NaI209,209,8,10,23.72,16.4,4.23,38.54,1190.96,0.0977,-300.454584,3.823344,11,17,21,97,,,,,,,,
