NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,,,,,b1,a1,,b2,a2,,,b new,a new
NaI128,128,8,8,59.8,-33.79,-10.25,20.55,1194.3,0.0977,0,0,9,0,21,16,,,,,0,0,128,0,0,,,0,0
NaI129,129,8,8,59.83,-31.02,-17.04,20.57,1192.59,0.0977,0,0,9,1,21,17,,,,,0,0,129,0,0,,,0,0
NaI130,130,8,8,59.73,-23.89,-25.94,20.58,1189.45,0.0977,0,0,9,2,21,18,,,,,0,0,130,0,0,,,0,0
NaI131,131,8,8,59.84,-17.05,-30.99,20.55,1199.72,0.0977,0,0,9,3,21,19,,,,,0,0,131,0,0,,,0,0
NaI132,132,8,8,59.88,-10.24,-33.91,20.55,1203.01,0.0977,-378.716604,3.382912,9,4,21,20,,,,,-396.533,3.424,132,13.058,0.988,,,-378.716604,3.382912
NaI133,133,8,8,59.82,-3.47,-35.06,20.49,1200.81,0.0977,-332.440848,3.657743,9,5,21,21,,,,,-358.656,3.721,133,20.118,0.983,,,-332.440848,3.657743
NaI134,134,8,9,47.84,3.41,-30.67,27.94,1198.88,0.0977,-380.376,3.435,9,6,21,22,,,,,-380.975,3.435,134,0.599,1,,,-380.376,3.435
NaI135,135,8,9,47.83,10.21,-29.13,27.96,1199.25,0.0977,-234.993608,3.14496,9,7,21,23,,,,,-219.576,3.12,135,-13.661,1.008,,,-234.993608,3.14496
NaI136,136,8,9,47.66,17.02,-25.58,28,1194.62,0.0977,-326.633912,3.224079,9,8,21,24,,,,,-312.992,3.189,136,-10.199,1.011,,,-326.633912,3.224079
NaI137,137,8,9,51.59,25.96,-23.92,27.99,1193.43,0.0977,-282.96469,2.975685,9,9,21,25,,,,,-308.954,3.021,137,21.355,0.985,,,-282.96469,2.975685
NaI138,138,8,9,47.76,25.67,-17.04,27.97,1200.72,0.0977,-306.852716,3.123234,9,10,21,26,,,,,-298.858,3.117,138,-7.397,1.002,,,-306.852716,3.123234
NaI139,139,8,9,47.81,29.1,-10.21,27.96,1199.95,0.0977,-231.676905,3.323535,9,11,21,27,,,,,-221.981,3.307,139,-8.586,1.005,,,-231.676905,3.323535
NaI140,140,8,9,47.86,30.7,-3.42,27.96,1193.99,0.0977,-414.44889,3.169648,9,12,21,28,,,,,-415.055,3.176,140,-0.224,0.998,,,-414.44889,3.169648
NaI141,141,8,9,47.87,30.67,3.44,27.92,1193.49,0.0977,-349.342664,3.066684,9,13,21,29,,,,,-352.834,3.079,141,2.08,0.996,,,-349.342664,3.066684
NaI142,142,8,9,47.89,29.16,10.25,27.94,1203.25,0.0977,-327.137449,3.563636,9,14,21,30,,,,,-336.839,3.596,142,6.67,0.991,,,-327.137449,3.563636
NaI143,143,8,9,47.72,25.63,17.01,27.97,1195.54,0.0977,-232.011795,3.327555,9,15,21,31,,,,,-224.159,3.311,143,-6.732,1.005,,,-232.011795,3.327555
